contour_id,order,x,y,closed
0,0,5.0000000000,57.6222426343,true
0,1,5.5860579279,58.7844253050,true
0,2,6.1721158559,59.9466079757,true
0,3,6.7581737838,61.1087906463,true
0,4,7.3442317118,62.2709733170,true
0,5,7.9302896397,63.4331559877,true
0,6,8.5163475677,64.5953386584,true
0,7,9.1024054956,65.7575213290,true
0,8,9.6884634236,66.9197039997,true
0,9,10.2745213515,68.0818866704,true
0,10,10.8605792794,69.2440693410,true
0,11,11.6786047225,70.2069272230,true
0,12,12.7393411482,70.9612286813,true
0,13,13.8000775739,71.7155301396,true
0,14,14.8608139997,72.4698315979,true
0,15,15.9215504254,73.2241330562,true
0,16,16.9822868512,73.9784345145,true
0,17,18.0430232769,74.7327359728,true
0,18,19.1037597027,75.4870374311,true
0,19,20.1644961284,76.2413388894,true
0,20,21.3657600096,76.6553644009,true
0,21,22.6496389335,76.8693442216,true
0,22,23.9335178574,77.0833240422,true
0,23,25.2173967813,77.2973038629,true
0,24,26.5012757052,77.5112836835,true
0,25,27.7851546291,77.7252635042,true
0,26,29.0690335530,77.9392433248,true
0,27,30.1343633949,78.6377496272,true
0,28,31.1445444019,79.4585216954,true
0,29,32.1547254089,80.2792937636,true
0,30,32.9679128300,80.1321949102,true
0,31,33.5769100759,78.9818667790,true
0,32,32.7360651499,78.0495479750,true
0,33,31.8157031410,77.1291859661,true
0,34,31.2147721317,76.0444390484,true
0,35,31.0007923111,74.7605601245,true
0,36,31.0998632443,73.5012435866,true
0,37,31.5114616475,72.2664483771,true
0,38,31.9230600507,71.0316531676,true
0,39,32.3346584538,69.7968579581,true
0,40,32.7462568570,68.5620627486,true
0,41,33.1578552602,67.3272675391,true
0,42,33.5694536633,66.0924723296,true
0,43,33.9810520665,64.8576771201,true
0,44,35.0216182823,64.1289621036,true
0,45,36.1397092467,63.4626250642,true
0,46,37.2578002112,62.7962880248,true
0,47,38.3758911756,62.1299509853,true
0,48,39.4939821401,61.4636139459,true
0,49,40.6120731046,60.7972769065,true
0,50,41.7301640690,60.1309398671,true
0,51,42.8482550335,59.4646028276,true
0,52,43.9663459979,58.7982657882,true
0,53,45.2028545676,58.5619403241,true
0,54,46.4785492172,58.5162069688,true
0,55,47.1482109425,57.4001040934,true
0,56,47.7240706712,56.6940665914,true
0,57,47.8419109512,57.9903096717,true
0,58,47.9597512313,59.2865527520,true
0,59,48.0775915113,60.5827958324,true
0,60,48.1954317913,61.8790389127,true
0,61,48.3132720713,63.1752819930,true
0,62,48.4311123514,64.4715250734,true
0,63,48.2209037492,65.7546268207,true
0,64,47.9997548716,67.0372903108,true
0,65,47.7786059940,68.3199538009,true
0,66,47.5574571164,69.6026172910,true
0,67,47.2257793173,70.8442345431,true
0,68,46.5561175920,71.9603374185,true
0,69,45.4343224975,72.5484209980,true
0,70,44.2284443150,73.0383090096,true
0,71,43.0225661325,73.5281970213,true
0,72,41.8166879501,74.0180850329,true
