contour_id,order,x,y,closed
0,0,5.0000000000,13.3538703025,true
0,1,5.3222899495,14.0214709122,true
0,2,5.6445798990,14.6890715218,true
0,3,5.9668698485,15.3566721315,true
0,4,6.2891597980,16.0242727412,true
0,5,6.6114497475,16.6918733509,true
0,6,6.9337396970,17.3594739606,true
0,7,7.2560296465,18.0270745703,true
0,8,7.5783195960,18.6946751800,true
0,9,7.9006095455,19.3622757896,true
0,10,8.4132162832,19.8922186056,true
0,11,8.9463701759,20.4072994849,true
0,12,9.4795240686,20.9223803643,true
0,13,10.0126779613,21.4374612437,true
0,14,10.5458318540,21.9525421231,true
0,15,11.0789857467,22.4676230025,true
0,16,11.6121396394,22.9827038819,true
0,17,12.1452935321,23.4977847612,true
0,18,12.6784474248,24.0128656406,true
0,19,13.2116013174,24.5279465200,true
0,20,13.7447552101,25.0430273994,true
0,21,14.3285475118,25.4779571313,true
0,22,15.0226708741,25.7382533922,true
0,23,15.7167942365,25.9985496531,true
0,24,16.4109175988,26.2588459140,true
0,25,17.1050409612,26.5191421749,true
0,26,17.7991643235,26.7794384357,true
0,27,18.4932876859,27.0397346966,true
0,28,19.1874110483,27.3000309575,true
0,29,19.8815344106,27.5603272184,true
0,30,20.5756577730,27.8206234793,true
0,31,21.2984178936,27.9585806525,true
0,32,22.0359563287,28.0334033923,true
0,33,22.7734947637,28.1082261321,true
0,34,23.5110331988,28.1830488719,true
0,35,24.2485716339,28.2578716116,true
0,36,24.9861100690,28.3326943514,true
0,37,25.7236485040,28.4075170912,true
0,38,26.4611869391,28.4823398310,true
0,39,27.1987253742,28.5571625708,true
0,40,27.9362638093,28.6319853106,true
0,41,28.0372556312,29.2820447404,true
0,42,28.0372556312,30.0233688164,true
0,43,28.0372556312,30.7646928924,true
0,44,28.0372556312,31.5060169683,true
0,45,28.0372556312,32.2473410443,true
0,46,28.0372556312,32.9886651202,true
0,47,28.0554687758,33.7272279764,true
0,48,28.2751966499,34.4352400151,true
0,49,28.4949245240,35.1432520538,true
0,50,28.7146523980,35.8512640925,true
0,51,28.9343802721,36.5592761313,true
0,52,29.1541081462,37.2672881700,true
0,53,29.3738360203,37.9753002087,true
0,54,29.5935638944,38.6833122474,true
0,55,29.8132917684,39.3913242861,true
0,56,30.1187349412,40.0603251926,true
0,57,30.5082954654,40.6910422318,true
0,58,30.8978559896,41.3217592710,true
0,59,31.2874165138,41.9524763103,true
0,60,31.6769770381,42.5831933495,true
0,61,32.0665375623,43.2139103887,true
0,62,32.4560980865,43.8446274279,true
0,63,32.8456586107,44.4753444672,true
0,64,33.2352191350,45.1060615064,true
0,65,33.6247796592,45.7367785456,true
0,66,34.0143401834,46.3674955848,true
0,67,34.4039007076,46.9982126241,true
0,68,34.7934612319,47.6289296633,true
0,69,35.1830217561,48.2596467025,true
0,70,35.5725822803,48.8903637417,true
0,71,35.9621428045,49.5210807809,true
